Node order: 256	Cache size: 5418
Gen	Total	Unique	wins W	wins B	CPU time (s)	Cache hit %	filesize (MB)
1	7	7	0	0	0.000000	0.000000	0.003
2	49	49	0	0	0.000000	0.000000	0.003
3	343	238	0	0	0.000000	0.000000	0.003
4	1666	1120	0	0	0.000000	0.000000	0.024
5	7840	4263	0	0	0.000000	0.000000	0.083
6	29841	16422	0	0	0.000000	0.000000	0.328
7	114947	54859	0	0	0.030000	0.000000	1.090
8	378623	184275	0	0	0.120000	0.000000	3.673
9	1272355	558186	0	0	0.520000	0.000000	11.040
10	3739434	1662623	0	0	5.270000	0.000000	33.202
11	11171052	4568683	0	0	27.880000	0.000000	90.818
